epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0725,2.0199,3.86783,1.55031,0,0,0,0,1.46485,3.8479,1.12863,1.429e-05,1.429e-05,1.429e-05
2,37.7828,1.8191,3.90882,1.40158,0,0,0,0,1.42772,3.83696,1.11722,4.27285e-05,4.27285e-05,4.27285e-05
3,54.9834,1.73179,3.83479,1.34546,0,0,0,0,1.33797,3.81562,1.08703,7.09784e-05,7.09784e-05,7.09784e-05
4,71.5144,1.64236,3.76121,1.26758,0,0,0,0,1.367,3.76378,1.10866,9.90397e-05,9.90397e-05,9.90397e-05
5,88.7862,1.5543,3.64663,1.22072,0,0,0,0,1.30927,3.69333,1.06443,0.000126912,0.000126912,0.000126912
6,104.772,1.55364,3.50756,1.19342,0,0,0,0,1.41557,3.70021,1.10035,0.000154596,0.000154596,0.000154596
7,122.143,1.7255,3.35948,1.15658,0,0,0,0,1.48633,3.70382,1.13162,0.000182092,0.000182092,0.000182092
8,139.595,1.55701,3.18844,1.17679,0,0,0,0,1.49558,3.69162,1.13396,0.000209399,0.000209399,0.000209399
9,155.732,1.68973,3.00295,1.17304,0,0,0,0,1.4801,3.65997,1.13544,0.000236517,0.000236517,0.000236517
10,172.757,1.57357,2.97117,1.16473,0,0,0,0,1.48556,3.62851,1.13377,0.000263446,0.000263446,0.000263446
11,189.08,1.67229,2.98031,1.136,0.0232,0.12865,0.00358,0.00237,1.49306,3.57614,1.11875,0.000290187,0.000290187,0.000290187
12,204.627,1.63773,2.72754,1.19082,0.0131,0.12865,0.00718,0.00553,1.47066,3.54446,1.10496,0.000316739,0.000316739,0.000316739
13,219.963,1.70775,2.51087,1.18682,0.01332,0.19532,0.02565,0.01606,1.49161,3.48741,1.10154,0.000343103,0.000343103,0.000343103
14,236.695,1.56941,2.71397,1.14893,0.01172,0.19532,0.04949,0.02221,1.44973,3.44603,1.07671,0.000369278,0.000369278,0.000369278
15,253.776,1.59969,2.52572,1.13337,0.03029,0.2655,0.14537,0.04566,1.40597,3.42809,1.06534,0.000395264,0.000395264,0.000395264
16,269.681,1.68229,2.30722,1.19072,0.06988,0.42339,0.22597,0.10175,1.44015,3.41042,1.0749,0.000421062,0.000421062,0.000421062
17,285.098,1.60479,2.32901,1.20945,0.0677,0.45848,0.24777,0.11247,1.42826,3.36728,1.08443,0.000446671,0.000446671,0.000446671
18,303.604,1.62802,2.20929,1.1619,0.05763,0.40936,0.2627,0.12487,1.40846,3.30272,1.07151,0.000472092,0.000472092,0.000472092
19,321.083,1.62598,2.12817,1.13803,0.05805,0.4269,0.27871,0.1444,1.36842,3.21376,1.06088,0.000497323,0.000497323,0.000497323
20,339.501,1.62039,2.04335,1.12252,0.05498,0.4269,0.29707,0.16051,1.3363,3.17134,1.06347,0.000522367,0.000522367,0.000522367
21,357.19,1.6831,1.79167,1.19481,0.04981,0.4269,0.26835,0.14991,1.3927,3.12701,1.07889,0.000547221,0.000547221,0.000547221
22,372.882,1.65277,1.65049,1.21934,0.05906,0.51111,0.28995,0.14662,1.53453,3.16075,1.12779,0.000571887,0.000571887,0.000571887
23,389.997,1.7149,1.77422,1.20115,0.06149,0.60468,0.27386,0.14172,1.59769,3.18473,1.15986,0.000596365,0.000596365,0.000596365
24,407.417,1.59167,1.76032,1.17489,0.0573,0.60468,0.333,0.18667,1.40367,3.13751,1.08758,0.000620653,0.000620653,0.000620653
25,425.66,1.64005,1.59007,1.14957,0.05246,0.64912,0.60613,0.39755,1.46193,3.11253,1.10262,0.000644753,0.000644753,0.000644753
26,442.257,1.63133,1.66602,1.19098,0.05864,0.71579,0.6228,0.42455,1.46356,3.04436,1.10621,0.000668665,0.000668665,0.000668665
27,461.018,1.56184,1.54778,1.13967,0.06442,0.73333,0.66824,0.43838,1.49501,2.90351,1.11479,0.000692388,0.000692388,0.000692388
28,477.796,1.56749,1.42877,1.12349,0.06442,0.73333,0.66824,0.43838,1.49501,2.90351,1.11479,0.000715922,0.000715922,0.000715922
29,495.762,1.6346,1.47542,1.1573,0.0602,0.73333,0.62063,0.40117,1.5579,2.82293,1.15166,0.000739267,0.000739267,0.000739267
30,514.371,1.59246,1.53341,1.12629,0.88757,0.22807,0.34007,0.18145,1.50468,2.70884,1.14249,0.000762424,0.000762424,0.000762424
31,533.017,1.56483,1.38631,1.15832,0.88757,0.22807,0.34007,0.18145,1.50468,2.70884,1.14249,0.000785393,0.000785393,0.000785393
32,551.605,1.63284,1.35051,1.21734,0.93425,0.21439,0.30298,0.1671,1.48855,2.59186,1.12577,0.000808172,0.000808172,0.000808172
33,568.372,1.35899,1.23545,1.13839,0.9549,0.22444,0.31764,0.17092,1.58058,2.50587,1.14612,0.000830763,0.000830763,0.000830763
34,585.772,1.50332,1.27671,1.14854,0.9549,0.22444,0.31764,0.17092,1.58058,2.50587,1.14612,0.000853166,0.000853166,0.000853166
35,603.06,1.64782,1.35459,1.15481,0.95922,0.2807,0.41195,0.207,1.59159,2.43251,1.15872,0.00087538,0.00087538,0.00087538
36,620.818,1.61259,1.27088,1.19398,0.94788,0.28409,0.57767,0.28873,1.53651,2.35859,1.15128,0.000897405,0.000897405,0.000897405
37,639.978,1.52554,1.26274,1.13368,0.94788,0.28409,0.57767,0.28873,1.53651,2.35859,1.15128,0.000919241,0.000919241,0.000919241
38,658.059,1.47433,1.28169,1.12168,0.93041,0.26608,0.56138,0.30261,1.45434,2.31871,1.1333,0.000940889,0.000940889,0.000940889
39,675.975,1.68595,1.32297,1.19896,0.74352,0.33212,0.46768,0.23263,1.51848,2.27889,1.17738,0.000962349,0.000962349,0.000962349
40,695.156,1.55627,1.32503,1.17984,0.74352,0.33212,0.46768,0.23263,1.51848,2.27889,1.17738,0.000983619,0.000983619,0.000983619
41,714.275,1.53322,1.20772,1.13659,0.56336,0.2807,0.48341,0.24963,1.489,2.1373,1.16579,0.0010047,0.0010047,0.0010047
42,731.42,1.47571,1.2667,1.15177,0.7675,0.52683,0.52817,0.29399,1.46191,1.84896,1.16159,0.00102559,0.00102559,0.00102559
43,748.895,1.48698,1.17998,1.13996,0.7675,0.52683,0.52817,0.29399,1.46191,1.84896,1.16159,0.0010463,0.0010463,0.0010463
44,765.811,1.57765,1.19058,1.21231,0.77598,0.59266,0.55519,0.30362,1.52949,1.69085,1.19999,0.00106682,0.00106682,0.00106682
45,784.38,1.35451,1.1894,1.13286,0.77598,0.59266,0.55519,0.30362,1.52949,1.69085,1.19999,0.00108714,0.00108714,0.00108714
46,802.644,1.45041,1.1815,1.13874,0.70339,0.39649,0.42638,0.2081,1.91065,1.81814,1.34673,0.00110728,0.00110728,0.00110728
47,819.904,1.55156,1.2053,1.15128,0.70339,0.39649,0.42638,0.2081,1.91065,1.81814,1.34673,0.00112723,0.00112723,0.00112723
48,838.032,1.51911,1.1876,1.21133,0.67531,0.41404,0.44785,0.22869,1.78082,1.81114,1.2912,0.00114699,0.00114699,0.00114699
49,856.854,1.50436,1.21985,1.15781,0.67531,0.41404,0.44785,0.22869,1.78082,1.81114,1.2912,0.00116657,0.00116657,0.00116657
