epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.58021,2.6908,4.03273,1.88773,0,0,0,0,3.5611,4.17744,1.2521,0,0,0
2,3.29729,1.84322,3.9741,1.48878,0,0,0,0,3.54047,4.17579,1.24404,1.42428e-05,1.42428e-05,1.42428e-05
3,4.87602,2.3588,3.92675,1.71306,0,0,0,0,3.49607,4.17228,1.23117,2.83914e-05,2.83914e-05,2.83914e-05
4,6.43543,2.05888,3.97081,1.37163,0,0,0,0,3.48315,4.16468,1.22399,4.24456e-05,4.24456e-05,4.24456e-05
5,7.92542,1.78211,3.89898,1.41142,0,0,0,0,3.45717,4.15967,1.20769,5.64055e-05,5.64055e-05,5.64055e-05
6,9.53038,1.94505,4.00936,1.26281,0,0,0,0,3.42496,4.14938,1.19271,7.02711e-05,7.02711e-05,7.02711e-05
7,11.0138,1.9117,3.85917,1.47388,0,0,0,0,3.43794,4.14194,1.1942,8.40423e-05,8.40423e-05,8.40423e-05
8,12.4984,1.87848,3.78608,1.32903,0,0,0,0,3.46443,4.13746,1.20381,9.77193e-05,9.77193e-05,9.77193e-05
9,14.142,2.1499,3.83683,1.37083,0,0,0,0,3.49017,4.10151,1.19881,0.000111302,0.000111302,0.000111302
10,15.6239,1.70641,3.56425,1.24978,0,0,0,0,3.52299,4.06219,1.19823,0.00012479,0.00012479,0.00012479
11,17.1335,1.79617,3.57398,1.26457,0,0,0,0,3.63324,4.03093,1.21062,0.000138184,0.000138184,0.000138184
12,18.7715,1.93485,3.44879,1.3257,0.00271,0.00303,2e-05,0,3.76947,4.01904,1.23263,0.000151484,0.000151484,0.000151484
13,20.354,1.83109,3.42852,1.20046,0,0,0,0,3.91768,4.00515,1.25699,0.000164689,0.000164689,0.000164689
14,21.8841,1.70509,3.34367,1.08049,0,0,0,0,3.99033,3.99371,1.27223,0.0001778,0.0001778,0.0001778
15,23.4936,1.57947,3.34532,1.10293,0,0,0,0,4.04045,3.99683,1.28588,0.000190817,0.000190817,0.000190817
16,25.0624,1.57673,3.28437,1.09801,0,0,0,0,4.09441,4.00672,1.31632,0.00020374,0.00020374,0.00020374
17,26.7039,1.98999,3.23966,1.24867,0,0,0,0,4.10531,4.00957,1.3222,0.000216568,0.000216568,0.000216568
18,28.2164,1.7827,2.89798,1.32907,0,0,0,0,4.10531,4.00957,1.3222,0.000229302,0.000229302,0.000229302
19,29.8423,1.75291,3.22992,1.13841,0,0,0,0,4.07934,4.02507,1.33034,0.000241941,0.000241941,0.000241941
20,31.3247,1.72083,3.05391,1.25838,0,0,0,0,4.07934,4.02507,1.33034,0.000254486,0.000254486,0.000254486
21,32.9439,2.07066,3.23761,1.19378,0,0,0,0,3.92126,4.03448,1.28241,0.000266937,0.000266937,0.000266937
22,34.388,1.68047,2.96118,1.13169,0,0,0,0,3.92126,4.03448,1.28241,0.000279294,0.000279294,0.000279294
23,36.0165,1.68508,2.84952,1.0852,0,0,0,0,3.74928,4.02204,1.21355,0.000291556,0.000291556,0.000291556
24,37.4948,1.72373,2.86555,1.1085,0,0,0,0,3.74928,4.02204,1.21355,0.000303724,0.000303724,0.000303724
25,38.9694,1.77421,2.55822,1.304,0.00483,0.00303,3e-05,1e-05,3.60176,3.99719,1.1632,0.000315798,0.000315798,0.000315798
26,40.4311,2.03513,2.53584,1.25124,0.00483,0.00303,3e-05,1e-05,3.60176,3.99719,1.1632,0.000327777,0.000327777,0.000327777
27,42.0397,1.69234,2.42291,1.11543,0,0,0,0,3.62018,3.9753,1.16723,0.000339662,0.000339662,0.000339662
28,43.6757,1.87674,2.80447,1.13807,0,0,0,0,3.62018,3.9753,1.16723,0.000351453,0.000351453,0.000351453
29,45.1603,1.50606,2.70251,1.15255,0,0,0,0,3.65809,3.97209,1.18822,0.000363149,0.000363149,0.000363149
30,46.587,2.45243,2.30234,1.70943,0,0,0,0,3.65809,3.97209,1.18822,0.000374751,0.000374751,0.000374751
31,48.1041,1.66178,2.54886,1.07611,0,0,0,0,3.81333,3.97842,1.24675,0.000386259,0.000386259,0.000386259
32,49.5464,1.84354,2.45047,1.33637,0,0,0,0,3.81333,3.97842,1.24675,0.000397672,0.000397672,0.000397672
33,51.2005,1.86069,2.51541,1.12843,0,0,0,0,3.91291,3.95214,1.2816,0.000408991,0.000408991,0.000408991
34,52.6068,1.63075,1.93502,1.1339,0,0,0,0,3.91291,3.95214,1.2816,0.000420216,0.000420216,0.000420216
35,54.1776,1.88516,2.30803,1.13489,0,0,0,0,3.89385,3.91388,1.27602,0.000431347,0.000431347,0.000431347
36,55.8073,1.73528,2.36973,1.08815,0,0,0,0,3.89385,3.91388,1.27602,0.000442383,0.000442383,0.000442383
37,57.4497,2.52765,2.18053,1.33149,0,0,0,0,3.72429,3.89081,1.19371,0.000453325,0.000453325,0.000453325
