epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.60401,1.9645,3.94613,1.54266,0,0,0,0,3.52057,4.17435,1.23698,1.429e-05,1.429e-05,1.429e-05
2,18.8699,1.88904,3.88457,1.52073,0,0,0,0,3.46964,4.16158,1.21294,4.27285e-05,4.27285e-05,4.27285e-05
3,28.0741,1.89043,3.88095,1.3831,0,0,0,0,3.43769,4.14395,1.19739,7.09784e-05,7.09784e-05,7.09784e-05
4,36.6472,1.68101,3.78065,1.28893,0,0,0,0,3.5813,4.11084,1.22545,9.90397e-05,9.90397e-05,9.90397e-05
5,45.048,1.6945,3.57836,1.28782,0,0,0,0,3.86715,4.09168,1.29489,0.000126912,0.000126912,0.000126912
6,53.9418,1.62887,3.5331,1.18904,0,0,0,0,3.71496,4.04486,1.21421,0.000154596,0.000154596,0.000154596
7,63.0586,1.62879,3.44856,1.21026,0,0,0,0,3.89013,4.05705,1.2761,0.000182092,0.000182092,0.000182092
8,71.7597,1.60227,3.29346,1.20084,0,0,0,0,4.2455,4.0956,1.45148,0.000209399,0.000209399,0.000209399
9,80.6337,1.70483,3.17964,1.19355,0,0,0,0,4.09271,4.0939,1.39326,0.000236517,0.000236517,0.000236517
10,89.5995,1.62089,3.06477,1.16485,0,0,0,0,3.87017,4.076,1.29429,0.000263446,0.000263446,0.000263446
11,97.736,1.60689,2.83685,1.19362,0,0,0,0,3.76335,4.05494,1.24579,0.000290187,0.000290187,0.000290187
12,106.441,1.64853,3.02661,1.18599,0,0,0,0,3.69598,4.03283,1.21674,0.000316739,0.000316739,0.000316739
13,115.114,1.63419,2.68578,1.12473,0,0,0,0,3.50113,3.99682,1.14547,0.000343103,0.000343103,0.000343103
14,123.906,1.63221,2.76088,1.16319,0,0,0,0,3.51133,3.9635,1.15125,0.000369278,0.000369278,0.000369278
15,132.162,1.6176,2.54233,1.15997,0,0,0,0,3.56369,3.94974,1.17665,0.000395264,0.000395264,0.000395264
16,140.54,1.63667,2.40575,1.19915,0.00298,0.0098,8e-05,2e-05,3.72095,3.94571,1.23222,0.000421062,0.000421062,0.000421062
17,149.184,1.6559,2.33682,1.13872,0.00273,0.0098,8e-05,2e-05,3.86596,3.94337,1.29058,0.000446671,0.000446671,0.000446671
18,157.439,1.71831,2.2701,1.18414,0.00243,0.0098,6e-05,3e-05,3.57949,3.92825,1.19875,0.000472092,0.000472092,0.000472092
19,165.594,1.6875,2.15025,1.16457,0.00417,0.00303,2e-05,2e-05,3.3911,3.92464,1.11799,0.000497323,0.000497323,0.000497323
20,174.142,1.66018,2.18642,1.22924,0.0119,0.00909,0.00032,0.0001,3.37567,3.90333,1.10725,0.000522367,0.000522367,0.000522367
21,183.199,1.67873,1.86389,1.17171,0.01611,0.02193,0.00061,0.00012,3.47703,3.86223,1.14595,0.000547221,0.000547221,0.000547221
22,191.392,1.67469,1.82366,1.17055,0.01762,0.02496,0.00091,0.00015,3.50881,3.84308,1.1606,0.000571887,0.000571887,0.000571887
23,200.294,1.65428,1.72449,1.15805,0.02051,0.02424,0.00179,0.00027,3.25769,3.87938,1.09367,0.000596365,0.000596365,0.000596365
24,209.114,1.69416,1.54031,1.27082,0.01757,0.02799,0.0012,0.00028,3.12374,3.91384,1.06816,0.000620653,0.000620653,0.000620653
25,218.171,1.66459,1.6015,1.09431,0.01716,0.02121,0.00153,0.0003,3.18796,3.84436,1.07971,0.000644753,0.000644753,0.000644753
26,226.468,1.62393,1.46702,1.14384,0.01527,0.02496,0.00072,0.00011,3.4373,3.71234,1.17903,0.000668665,0.000668665,0.000668665
27,234.404,1.58854,1.55982,1.17711,0.02679,0.02727,0.00326,0.0008,3.65614,3.59824,1.2879,0.000692388,0.000692388,0.000692388
28,243.26,1.63412,1.44786,1.13696,0.02679,0.02727,0.00326,0.0008,3.65614,3.59824,1.2879,0.000715922,0.000715922,0.000715922
29,252.063,1.62412,1.49677,1.16098,0.03333,0.04242,0.00735,0.00201,3.66788,3.4848,1.31814,0.000739267,0.000739267,0.000739267
30,261.019,1.66415,1.48576,1.09923,0.04924,0.07879,0.02139,0.0068,3.44218,3.36364,1.22986,0.000762424,0.000762424,0.000762424
31,269.761,1.80728,1.46718,1.26353,0.04924,0.07879,0.02139,0.0068,3.44218,3.36364,1.22986,0.000785393,0.000785393,0.000785393
32,278.435,1.71405,1.38039,1.27177,0.04839,0.08182,0.03119,0.00863,3.41006,3.27128,1.19391,0.000808172,0.000808172,0.000808172
33,287.204,1.73559,1.37965,1.20927,0.05476,0.0697,0.02431,0.00862,3.42107,3.25803,1.17386,0.000830763,0.000830763,0.000830763
34,296.445,1.65568,1.28444,1.13036,0.05476,0.0697,0.02431,0.00862,3.42107,3.25803,1.17386,0.000853166,0.000853166,0.000853166
35,305.02,1.6244,1.37805,1.21083,0.05063,0.03636,0.01042,0.00381,3.34867,3.27461,1.12331,0.00087538,0.00087538,0.00087538
36,313.345,1.55902,1.25133,1.22236,0.03478,0.03476,0.00346,0.00125,3.29686,3.2786,1.09146,0.000897405,0.000897405,0.000897405
37,322.36,1.61091,1.35543,1.15771,0.03478,0.03476,0.00346,0.00125,3.29686,3.2786,1.09146,0.000919241,0.000919241,0.000919241
38,330.347,1.63977,1.25764,1.22887,0.05174,0.06649,0.01161,0.00369,3.25238,3.20939,1.0662,0.000940889,0.000940889,0.000940889
39,338.739,1.65878,1.26811,1.22385,0.08111,0.12103,0.02858,0.009,3.1984,3.09815,1.06662,0.000962349,0.000962349,0.000962349
40,347.383,1.5799,1.16044,1.23402,0.08111,0.12103,0.02858,0.009,3.1984,3.09815,1.06662,0.000983619,0.000983619,0.000983619
41,356.674,1.52089,1.21697,1.16177,0.13767,0.20588,0.0499,0.01774,3.20616,2.96052,1.0784,0.0010047,0.0010047,0.0010047
42,365.164,1.49658,1.21927,1.2334,0.25323,0.13387,0.02336,0.01028,3.17139,2.92111,1.06882,0.00102559,0.00102559,0.00102559
43,374.154,1.6394,1.25355,1.17362,0.25323,0.13387,0.02336,0.01028,3.17139,2.92111,1.06882,0.0010463,0.0010463,0.0010463
44,382.502,1.58332,1.23454,1.1851,0.00667,0.05882,0.00117,0.00022,3.13098,2.99341,1.03677,0.00106682,0.00106682,0.00106682
45,391.788,1.5549,1.19563,1.22122,0.00667,0.05882,0.00117,0.00022,3.13098,2.99341,1.03677,0.00108714,0.00108714,0.00108714
46,401.5,1.60559,1.40206,1.16628,0.01111,0.09804,0.00334,0.00056,3.05347,3.07686,1.01993,0.00110728,0.00110728,0.00110728
47,410.99,1.52453,1.16866,1.15005,0.01111,0.09804,0.00334,0.00056,3.05347,3.07686,1.01993,0.00112723,0.00112723,0.00112723
48,421.045,1.55449,1.23058,1.15218,0.25571,0.0672,0.01801,0.00707,3.18483,2.64396,1.0686,0.00114699,0.00114699,0.00114699
49,429.971,1.60911,1.19044,1.18624,0.25571,0.0672,0.01801,0.00707,3.18483,2.64396,1.0686,0.00116657,0.00116657,0.00116657
50,438.442,1.54289,1.14277,1.18177,0.15708,0.14011,0.07727,0.0269,3.48795,2.28393,1.15535,0.00118595,0.00118595,0.00118595
51,447.14,1.64341,1.11113,1.13781,0.15708,0.14011,0.07727,0.0269,3.48795,2.28393,1.15535,0.00119322,0.00119322,0.00119322
52,456.029,1.51553,1.12091,1.15607,0.12159,0.21052,0.09455,0.03414,3.27968,2.11058,1.09708,0.0011885,0.0011885,0.0011885
53,464.46,1.53679,1.07522,1.13877,0.12159,0.21052,0.09455,0.03414,3.27968,2.11058,1.09708,0.00118378,0.00118378,0.00118378
