epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.64347,1.93266,3.95395,1.47975,0,0,0,0,3.52688,4.17489,1.23805,1.429e-05,1.429e-05,1.429e-05
2,16.0698,1.96601,3.91197,1.49179,0,0,0,0,3.47301,4.16232,1.20947,4.24456e-05,4.24456e-05,4.24456e-05
3,23.3811,1.72339,3.86227,1.39696,0,0,0,0,3.45033,4.15377,1.20699,7.00353e-05,7.00353e-05,7.00353e-05
4,29.8318,1.74241,3.88408,1.45393,0,0,0,0,3.5533,4.12509,1.23056,9.70591e-05,9.70591e-05,9.70591e-05
5,36.3127,1.72047,3.79991,1.29235,0,0,0,0,3.69873,4.08555,1.24268,0.000123517,0.000123517,0.000123517
6,43.0103,1.65171,3.61172,1.17887,0,0,0,0,3.63931,4.0502,1.19559,0.000149409,0.000149409,0.000149409
7,49.9503,1.51749,3.46292,1.15377,0,0,0,0,3.67921,4.04517,1.20155,0.000174735,0.000174735,0.000174735
8,56.8329,1.70654,3.51703,1.18049,0,0,0,0,3.73407,4.05551,1.21573,0.000199496,0.000199496,0.000199496
9,63.8012,1.65039,3.24965,1.16008,0.01434,0.01212,0.00051,0.00019,3.73046,4.06142,1.21513,0.00022369,0.00022369,0.00022369
10,70.6623,1.70623,3.10563,1.22251,0.01754,0.01515,0.0009,0.00033,3.75584,4.06158,1.22725,0.000247318,0.000247318,0.000247318
11,77.0162,1.75929,2.93207,1.22306,0.01603,0.01515,0.00101,0.00044,3.79543,4.04053,1.24235,0.000270381,0.000270381,0.000270381
12,83.3649,1.65661,2.97838,1.18656,0.0198,0.01818,0.00115,0.00036,3.93009,4.01686,1.28837,0.000292878,0.000292878,0.000292878
13,89.5934,1.66487,2.9745,1.17546,0.0198,0.01818,0.00113,0.00029,4.03304,4.0009,1.33075,0.000314809,0.000314809,0.000314809
14,96.117,1.70261,2.91985,1.18517,0.01641,0.02193,0.00059,9e-05,3.85601,3.98452,1.2647,0.000336174,0.000336174,0.000336174
15,102.888,1.7583,2.54185,1.16097,0.01784,0.02193,0.00065,0.00015,3.55573,3.97302,1.15071,0.000356973,0.000356973,0.000356973
16,109.503,2.03972,2.6713,1.45154,0.02045,0.02193,0.00073,0.00013,3.34577,3.98767,1.09553,0.000377206,0.000377206,0.000377206
17,116.003,1.74189,2.8231,1.15861,0.01723,0.01889,0.00045,9e-05,3.38097,3.99352,1.10548,0.000396873,0.000396873,0.000396873
18,122.414,1.85659,2.45773,1.28561,0.0119,0.00606,0.0002,8e-05,3.67421,3.98171,1.19477,0.000415975,0.000415975,0.000415975
19,128.984,1.60008,2.61186,1.20846,0.00513,0.00303,3e-05,1e-05,4.16053,3.96354,1.38417,0.00043451,0.00043451,0.00043451
20,135.268,1.61965,2.61287,1.16712,0.00556,0.00303,3e-05,1e-05,4.23472,3.95765,1.42726,0.00045248,0.00045248,0.00045248
21,142.113,1.71358,2.46866,1.16464,0.01333,0.00606,0.0002,4e-05,4.02584,3.95509,1.35195,0.000469884,0.000469884,0.000469884
22,149.173,1.76695,2.16157,1.20166,0.01493,0.00909,0.00038,0.00011,3.63038,3.97146,1.21821,0.000486722,0.000486722,0.000486722
23,155.977,1.70031,2.07889,1.19853,0.02405,0.02121,0.00202,0.0004,3.45795,3.96871,1.16429,0.000502994,0.000502994,0.000502994
24,162.899,1.69091,2.59832,1.1103,0.03023,0.03708,0.00257,0.00062,3.42408,3.95528,1.16291,0.0005187,0.0005187,0.0005187
25,169.617,1.6848,2.1064,1.13904,0.0346,0.04991,0.0034,0.00077,3.51789,3.92908,1.18532,0.00053384,0.00053384,0.00053384
26,176.525,1.69188,1.84056,1.25905,0.02809,0.04385,0.00251,0.00048,3.68021,3.9137,1.24156,0.000548414,0.000548414,0.000548414
27,183.675,1.73281,2.00567,1.2079,0.0253,0.04082,0.00213,0.00041,3.78681,3.88434,1.28375,0.000562423,0.000562423,0.000562423
28,190.57,1.61866,1.70262,1.1409,0.0253,0.04082,0.00213,0.00041,3.78681,3.88434,1.28375,0.000575866,0.000575866,0.000575866
29,197.556,1.6283,1.65002,1.16191,0.02746,0.04385,0.00253,0.00055,3.63256,3.87063,1.23651,0.000588742,0.000588742,0.000588742
30,204.491,1.75763,1.75251,1.17989,0.02616,0.04082,0.00212,0.00052,3.40171,3.85564,1.15417,0.000601053,0.000601053,0.000601053
31,212.238,1.65836,1.54124,1.13515,0.02616,0.04082,0.00212,0.00052,3.40171,3.85564,1.15417,0.000612798,0.000612798,0.000612798
32,219.492,1.6658,1.6315,1.15185,0.03829,0.05294,0.00392,0.00083,3.21255,3.80123,1.0989,0.000623977,0.000623977,0.000623977
33,226.588,1.65313,1.51687,1.16404,0.04921,0.06809,0.00772,0.002,3.24086,3.72193,1.10159,0.00063459,0.00063459,0.00063459
34,234.019,1.70994,1.41174,1.19193,0.04921,0.06809,0.00772,0.002,3.24086,3.72193,1.10159,0.000644638,0.000644638,0.000644638
35,241.168,1.76174,1.63051,1.14061,0.05827,0.08253,0.0144,0.00375,3.33799,3.59647,1.1336,0.000654119,0.000654119,0.000654119
36,248.084,1.82832,1.66631,1.36763,0.06024,0.09091,0.0173,0.00456,3.43833,3.48924,1.17022,0.000663035,0.000663035,0.000663035
37,255.076,1.68736,1.55361,1.18208,0.06024,0.09091,0.0173,0.00456,3.43833,3.48924,1.17022,0.000671384,0.000671384,0.000671384
38,262.046,1.60927,1.75468,1.19707,0.05967,0.08788,0.01765,0.00493,3.32782,3.47546,1.13794,0.000679168,0.000679168,0.000679168
39,269.075,1.59028,1.40459,1.12883,0.05907,0.08485,0.01783,0.00564,3.18637,3.52483,1.08587,0.000686386,0.000686386,0.000686386
