epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5118,1.91585,3.87426,1.59797,0,0,0,0,3.01467,4.16864,1.21069,1.429e-05,1.429e-05,1.429e-05
2,30.8537,1.85943,3.80244,1.5893,0,0,0,0,2.99075,4.16282,1.20282,4.27285e-05,4.27285e-05,4.27285e-05
3,45.2368,1.8081,3.80543,1.42957,0,0,0,0,3.01327,4.14735,1.22091,7.09784e-05,7.09784e-05,7.09784e-05
4,59.0742,1.63276,3.67643,1.35145,0,0,0,0,3.16763,4.14831,1.26478,9.90397e-05,9.90397e-05,9.90397e-05
5,72.5587,1.67076,3.44521,1.34418,0,0,0,0,3.30623,4.12749,1.27846,0.000126912,0.000126912,0.000126912
6,86.8583,1.60225,3.4039,1.22845,0,0,0,0,3.17552,4.07489,1.18492,0.000154596,0.000154596,0.000154596
7,101.429,1.59959,3.30953,1.25187,0,0,0,0,3.17331,4.07937,1.18978,0.000182092,0.000182092,0.000182092
8,114.641,1.59014,3.0909,1.24966,0,0,0,0,3.3829,4.12195,1.3175,0.000209399,0.000209399,0.000209399
9,128.29,1.66511,2.9869,1.24592,0,0,0,0,3.2972,4.11666,1.29249,0.000236517,0.000236517,0.000236517
10,141.837,1.61285,2.85956,1.24023,0,0,0,0,3.17319,4.10136,1.23448,0.000263446,0.000263446,0.000263446
11,154.555,1.59568,2.55555,1.25474,0,0,0,0,3.11955,4.08616,1.21204,0.000290187,0.000290187,0.000290187
12,168.128,1.63553,2.81361,1.24863,0,0,0,0,3.11344,4.06601,1.201,0.000316739,0.000316739,0.000316739
13,181.996,1.63519,2.39576,1.19114,0,0,0,0,3.02901,4.01652,1.15205,0.000343103,0.000343103,0.000343103
14,195.262,1.61598,2.47228,1.22433,0,0,0,0,3.0046,3.994,1.13892,0.000369278,0.000369278,0.000369278
15,208.032,1.58243,2.24537,1.22513,0,0,0,0,2.98061,3.98425,1.13039,0.000395264,0.000395264,0.000395264
16,221.053,1.62679,2.16871,1.27705,0,0,0,0,3.00943,3.98114,1.13711,0.000421062,0.000421062,0.000421062
17,234.269,1.64725,2.08594,1.20185,0,0,0,0,3.06521,3.97609,1.1556,0.000446671,0.000446671,0.000446671
18,248.172,1.70404,2.01957,1.26739,0,0,0,0,2.88918,3.95701,1.09699,0.000472092,0.000472092,0.000472092
19,261.114,1.6913,1.92079,1.2385,0,0,0,0,2.74076,3.93869,1.0553,0.000497323,0.000497323,0.000497323
20,274.579,1.65327,1.95878,1.32649,0,0,0,0,2.74847,3.92378,1.05308,0.000522367,0.000522367,0.000522367
21,288.807,1.63944,1.62756,1.2429,0,0,0,0,2.85374,3.91637,1.08692,0.000547221,0.000547221,0.000547221
22,301.893,1.65103,1.634,1.24336,0,0,0,0,2.99028,3.93737,1.1384,0.000571887,0.000571887,0.000571887
23,315.605,1.63044,1.51457,1.24077,0,0,0,0,2.95389,3.94777,1.14412,0.000596365,0.000596365,0.000596365
24,328.874,1.63417,1.43722,1.3478,0,0,0,0,2.88669,3.93636,1.12125,0.000620653,0.000620653,0.000620653
