epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,633.052,1.55115,1.16745,1.19038,0.66396,0.30593,0.39202,0.17235,1.7324,2.31919,1.27201,0.0010463,0.0010463,0.0010463
44,648.194,1.472,1.16033,1.23091,0.69046,0.45096,0.41141,0.20571,1.73892,2.2341,1.26576,0.00106682,0.00106682,0.00106682
45,664.516,1.56774,1.14407,1.2883,0.69046,0.45096,0.41141,0.20571,1.73892,2.2341,1.26576,0.00108714,0.00108714,0.00108714
46,680.719,1.5633,1.25673,1.22067,0.75179,0.45965,0.62355,0.28516,1.72123,2.09538,1.27856,0.00110728,0.00110728,0.00110728
47,695.926,1.50123,1.07485,1.16999,0.75179,0.45965,0.62355,0.28516,1.72123,2.09538,1.27856,0.00112723,0.00112723,0.00112723
48,712.293,1.48502,1.10413,1.18558,0.80528,0.61052,0.67313,0.32111,1.65248,1.85096,1.27794,0.00114699,0.00114699,0.00114699
49,727.652,1.57055,1.18653,1.28349,0.80528,0.61052,0.67313,0.32111,1.65248,1.85096,1.27794,0.00116657,0.00116657,0.00116657
50,742.553,1.53533,1.12784,1.25172,0.77481,0.57387,0.53403,0.24086,1.83469,1.7221,1.37575,0.00118595,0.00118595,0.00118595
51,758.548,1.65661,1.1706,1.22967,0.77481,0.57387,0.53403,0.24086,1.83469,1.7221,1.37575,0.00119322,0.00119322,0.00119322
52,773.8,1.47543,1.06946,1.23488,0.82256,0.64593,0.58742,0.26929,1.69217,1.53065,1.30153,0.0011885,0.0011885,0.0011885
53,788.318,1.51803,1.04723,1.20768,0.82256,0.64593,0.58742,0.26929,1.69217,1.53065,1.30153,0.00118378,0.00118378,0.00118378
54,802.95,1.44169,1.07631,1.21371,0.79624,0.56491,0.58994,0.31492,1.59391,1.46072,1.21915,0.00117907,0.00117907,0.00117907
55,818.424,1.55239,1.10391,1.16307,0.79624,0.56491,0.58994,0.31492,1.59391,1.46072,1.21915,0.00117435,0.00117435,0.00117435
56,833.119,1.52759,1.01803,1.2314,0.84049,0.50224,0.61076,0.32121,1.62848,1.52825,1.23383,0.00116964,0.00116964,0.00116964
57,848.249,1.45089,1.08965,1.18128,0.84049,0.50224,0.61076,0.32121,1.62848,1.52825,1.23383,0.00116492,0.00116492,0.00116492
58,863.167,1.53801,1.12324,1.20502,0.76152,0.52751,0.70271,0.36734,1.67958,1.51624,1.26305,0.00116021,0.00116021,0.00116021
59,878.479,1.5025,1.03213,1.25051,0.76152,0.52751,0.70271,0.36734,1.67958,1.51624,1.26305,0.00115549,0.00115549,0.00115549
60,894.088,1.50924,1.0528,1.22538,0.78851,0.63158,0.76421,0.38624,1.63464,1.39768,1.26587,0.00115077,0.00115077,0.00115077
61,908.639,1.52613,1.01917,1.17641,0.78851,0.63158,0.76421,0.38624,1.63464,1.39768,1.26587,0.00114606,0.00114606,0.00114606
62,923.361,1.51484,1.05727,1.20366,0.84613,0.62319,0.79013,0.39895,1.64592,1.32508,1.27293,0.00114134,0.00114134,0.00114134
63,937.72,1.49814,0.99177,1.20413,0.84613,0.62319,0.79013,0.39895,1.64592,1.32508,1.27293,0.00113663,0.00113663,0.00113663
64,952.87,1.50318,1.01541,1.21597,0.69589,0.56491,0.73343,0.37344,1.81677,1.37928,1.36374,0.00113191,0.00113191,0.00113191
65,967.685,1.55755,1.08477,1.19503,0.69589,0.56491,0.73343,0.37344,1.81677,1.37928,1.36374,0.0011272,0.0011272,0.0011272
66,980.874,1.50867,1.03058,1.19496,0.69796,0.72958,0.83631,0.44316,1.82245,1.35277,1.38841,0.00112248,0.00112248,0.00112248
67,994.99,1.43265,1.02371,1.15067,0.69796,0.72958,0.83631,0.44316,1.82245,1.35277,1.38841,0.00111776,0.00111776,0.00111776
68,1012.28,1.44062,1.01186,1.19015,0.77967,0.82201,0.93995,0.50016,1.57047,1.24942,1.26597,0.00111305,0.00111305,0.00111305
69,1026.42,1.45679,0.96212,1.15842,0.77967,0.82201,0.93995,0.50016,1.57047,1.24942,1.26597,0.00110833,0.00110833,0.00110833
70,1041.91,1.51466,1.03653,1.24393,0.75832,0.82752,0.937,0.46142,1.66197,1.26479,1.31973,0.00110362,0.00110362,0.00110362
71,1056.25,1.37215,1.01169,1.19303,0.75832,0.82752,0.937,0.46142,1.66197,1.26479,1.31973,0.0010989,0.0010989,0.0010989
72,1070.85,1.37373,0.96085,1.19266,0.87583,0.76666,0.95281,0.47349,1.65313,1.19579,1.2919,0.00109419,0.00109419,0.00109419
73,1085.02,1.45911,0.97555,1.16857,0.87583,0.76666,0.95281,0.47349,1.65313,1.19579,1.2919,0.00108947,0.00108947,0.00108947
74,1099.53,1.49497,1.37044,1.16204,0.677,0.87235,0.90704,0.4977,1.54095,1.17774,1.25015,0.00108475,0.00108475,0.00108475
75,1116.98,1.53465,1.0357,1.2019,0.677,0.87235,0.90704,0.4977,1.54095,1.17774,1.25015,0.00108004,0.00108004,0.00108004
76,1131.71,1.39597,1.01067,1.16291,0.63431,0.72515,0.89635,0.46627,1.62059,1.26369,1.29583,0.00107532,0.00107532,0.00107532
77,1146.63,1.47753,0.95575,1.22856,0.63431,0.72515,0.89635,0.46627,1.62059,1.26369,1.29583,0.00107061,0.00107061,0.00107061
