epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.59755,1.93266,3.95395,1.47975,0,0,0,0,3.52688,4.17489,1.23805,1.429e-05,1.429e-05,1.429e-05
2,14.903,1.96583,3.91194,1.49172,0,0,0,0,3.47272,4.16224,1.20939,4.27285e-05,4.27285e-05,4.27285e-05
3,22.5964,1.72248,3.86199,1.39633,0,0,0,0,3.45037,4.15314,1.20699,7.09784e-05,7.09784e-05,7.09784e-05
4,29.2988,1.74055,3.88291,1.45321,0,0,0,0,3.56466,4.12257,1.2314,9.90397e-05,9.90397e-05,9.90397e-05
5,36.0008,1.72135,3.79866,1.29223,0,0,0,0,3.71616,4.07872,1.24278,0.000126912,0.000126912,0.000126912
6,43.2052,1.65144,3.60658,1.17703,0,0,0,0,3.66671,4.0457,1.19894,0.000154596,0.000154596,0.000154596
7,50.471,1.51781,3.45542,1.1527,0,0,0,0,3.74351,4.06023,1.22222,0.000182092,0.000182092,0.000182092
8,57.6949,1.70697,3.50668,1.17865,0,0,0,0,3.78257,4.06793,1.23331,0.000209399,0.000209399,0.000209399
9,64.9389,1.65339,3.24269,1.15836,0,0,0,0,3.75261,4.06512,1.22231,0.000236517,0.000236517,0.000236517
10,71.6992,1.69614,3.0799,1.20471,0.01064,0.00909,0.00028,0.00014,3.78595,4.05627,1.23653,0.000263446,0.000263446,0.000263446
11,78.4262,1.76215,2.90897,1.21617,0.01042,0.00909,0.00027,0.00012,3.84451,4.02963,1.25584,0.000290187,0.000290187,0.000290187
12,85.0244,1.67404,2.95701,1.19128,0.01075,0.00909,0.00027,7e-05,4.01419,3.99282,1.311,0.000316739,0.000316739,0.000316739
13,91.619,1.67084,2.94248,1.17463,0.00351,0.00303,2e-05,1e-05,4.09802,3.97514,1.35299,0.000343103,0.000343103,0.000343103
14,98.3671,1.72152,2.88784,1.18913,0.00977,0.01586,0.0002,5e-05,3.89465,3.96774,1.26918,0.000369278,0.000369278,0.000369278
15,105.679,1.76645,2.48818,1.16679,0.01051,0.01586,0.00022,9e-05,3.50191,3.96945,1.1367,0.000395264,0.000395264,0.000395264
16,113.277,2.07611,2.60879,1.47395,0.01345,0.02567,0.00044,0.00011,3.3071,3.98473,1.08442,0.000421062,0.000421062,0.000421062
17,120.01,1.74297,2.77921,1.15985,0.01217,0.01586,0.00021,7e-05,3.34572,3.98096,1.0946,0.000446671,0.000446671,0.000446671
18,126.995,1.84642,2.3994,1.31031,0.00521,0.00303,3e-05,1e-05,3.63789,3.949,1.1829,0.000472092,0.000472092,0.000472092
19,133.98,1.58787,2.5665,1.20897,0.00513,0.00303,3e-05,1e-05,4.15415,3.92326,1.37018,0.000497323,0.000497323,0.000497323
20,140.748,1.6512,2.56843,1.17577,0,0,0,0,4.25549,3.91718,1.42707,0.000522367,0.000522367,0.000522367
21,147.874,1.74438,2.38088,1.17549,0.00556,0.00303,3e-05,1e-05,4.05179,3.91672,1.36201,0.000547221,0.000547221,0.000547221
22,154.926,1.79864,2.08238,1.21888,0.01235,0.00909,0.00031,0.0001,3.71955,3.95341,1.26071,0.000571887,0.000571887,0.000571887
23,161.681,1.70396,1.969,1.20648,0.0132,0.01212,0.00051,0.00013,3.53305,3.94848,1.20524,0.000596365,0.000596365,0.000596365
24,168.488,1.69832,2.52137,1.11656,0.0165,0.01515,0.0008,0.00023,3.55176,3.91702,1.20216,0.000620653,0.000620653,0.000620653
25,175.372,1.67631,1.97502,1.14127,0.01792,0.01515,0.00089,0.00021,3.6543,3.87054,1.21815,0.000644753,0.000644753,0.000644753
26,182.119,1.69023,1.75195,1.27294,0.01979,0.02496,0.0009,0.00027,3.77215,3.84599,1.25339,0.000668665,0.000668665,0.000668665
27,189.107,1.72974,1.92162,1.21755,0.00891,0.01586,0.0003,0.00012,3.79135,3.81914,1.26179,0.000692388,0.000692388,0.000692388
28,196.286,1.60242,1.59979,1.14847,0.00891,0.01586,0.0003,0.00012,3.79135,3.81914,1.26179,0.000715922,0.000715922,0.000715922
29,203.59,1.63687,1.6269,1.16978,0.02751,0.03708,0.00227,0.00055,3.58967,3.80643,1.19567,0.000739267,0.000739267,0.000739267
30,210.843,1.73718,1.67576,1.1919,0.02498,0.04082,0.00176,0.00034,3.40995,3.75332,1.13846,0.000762424,0.000762424,0.000762424
31,218.912,1.65865,1.48098,1.14978,0.02498,0.04082,0.00176,0.00034,3.40995,3.75332,1.13846,0.000785393,0.000785393,0.000785393
32,226.267,1.64443,1.51656,1.1442,0.04223,0.059,0.00574,0.0018,3.39654,3.61185,1.13037,0.000808172,0.000808172,0.000808172
33,233.493,1.63258,1.45031,1.15255,0.05995,0.07576,0.01553,0.00408,3.44832,3.484,1.16225,0.000830763,0.000830763,0.000830763
34,241.19,1.68227,1.32942,1.18457,0.05995,0.07576,0.01553,0.00408,3.44832,3.484,1.16225,0.000853166,0.000853166,0.000853166
35,248.468,1.71923,1.58086,1.13167,0.05353,0.06667,0.01126,0.00304,3.31832,3.46606,1.14664,0.00087538,0.00087538,0.00087538
36,255.372,1.82945,1.65559,1.38298,0.05556,0.06667,0.01135,0.00331,3.23109,3.47913,1.11353,0.000897405,0.000897405,0.000897405
37,262.137,1.67339,1.49005,1.18537,0.05556,0.06667,0.01135,0.00331,3.23109,3.47913,1.11353,0.000919241,0.000919241,0.000919241
38,268.822,1.61291,1.66829,1.20623,0.04683,0.05152,0.00756,0.00244,3.19626,3.52843,1.07706,0.000940889,0.000940889,0.000940889
39,275.855,1.56768,1.32142,1.13645,0.05106,0.06435,0.00794,0.00219,3.22784,3.60516,1.05667,0.000962349,0.000962349,0.000962349
40,282.324,1.55104,1.37497,1.21338,0.05106,0.06435,0.00794,0.00219,3.22784,3.60516,1.05667,0.000983619,0.000983619,0.000983619
41,289.68,1.64245,1.57206,1.21168,0.04724,0.05455,0.00829,0.00256,3.21111,3.55411,1.04947,0.0010047,0.0010047,0.0010047
42,296.782,1.57679,1.25002,1.18182,0.06294,0.08182,0.02257,0.00592,3.22366,3.30506,1.08531,0.00102559,0.00102559,0.00102559
43,303.933,1.64337,1.33147,1.16066,0.06294,0.08182,0.02257,0.00592,3.22366,3.30506,1.08531,0.0010463,0.0010463,0.0010463
44,310.325,1.51573,1.21486,1.23281,0.05243,0.08485,0.04294,0.01186,3.455,3.1008,1.16621,0.00106682,0.00106682,0.00106682
45,318.44,1.59023,1.19611,1.14284,0.05243,0.08485,0.04294,0.01186,3.455,3.1008,1.16621,0.00108714,0.00108714,0.00108714
46,325.961,1.54904,1.26453,1.17813,0.07171,0.11961,0.05842,0.01647,3.38143,2.9635,1.14574,0.00110728,0.00110728,0.00110728
