epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.9597,2.6908,4.03273,1.88773,0,0,0,0,3.5611,4.17744,1.2521,0,0,0
2,4.00571,1.84322,3.9741,1.48878,0,0,0,0,3.54077,4.17581,1.24409,1.40071e-05,1.40071e-05,1.40071e-05
3,5.70114,2.35894,3.92692,1.71317,0,0,0,0,3.49721,4.17243,1.23144,2.74482e-05,2.74482e-05,2.74482e-05
4,7.35971,2.0598,3.97072,1.37214,0,0,0,0,3.48296,4.16559,1.2246,4.03235e-05,4.03235e-05,4.03235e-05
5,8.87681,1.78514,3.90076,1.41405,0,0,0,0,3.46177,4.16019,1.2093,5.26329e-05,5.26329e-05,5.26329e-05
6,10.4859,1.95364,4.01139,1.26738,0,0,0,0,3.43077,4.15223,1.19463,6.43764e-05,6.43764e-05,6.43764e-05
7,11.9816,1.91813,3.86675,1.47471,0,0,0,0,3.43132,4.14019,1.19118,7.55541e-05,7.55541e-05,7.55541e-05
8,13.463,1.87884,3.81065,1.33907,0,0,0,0,3.44948,4.13142,1.19457,8.61658e-05,8.61658e-05,8.61658e-05
9,15.1914,2.14629,3.85257,1.37664,0,0,0,0,3.44166,4.08761,1.18039,9.62117e-05,9.62117e-05,9.62117e-05
10,16.7295,1.70801,3.5977,1.25987,0,0,0,0,3.45215,4.05889,1.17692,0.000105692,0.000105692,0.000105692
11,18.2991,1.80073,3.61249,1.27797,0,0,0,0,3.52528,4.04082,1.18157,0.000114606,0.000114606,0.000114606
12,19.9208,1.92536,3.49057,1.34379,0,0,0,0,3.63342,4.03377,1.19824,0.000122954,0.000122954,0.000122954
13,21.4017,1.84334,3.49005,1.21291,0,0,0,0,3.75481,4.02358,1.21889,0.000130736,0.000130736,0.000130736
14,22.9185,1.72543,3.40348,1.08985,0,0,0,0,3.83225,4.01953,1.23499,0.000137953,0.000137953,0.000137953
15,24.4991,1.56814,3.4051,1.1076,0,0,0,0,3.90457,4.0223,1.25324,0.000144603,0.000144603,0.000144603
16,26.1352,1.59131,3.37212,1.1054,0,0,0,0,3.98554,4.02985,1.2822,0.000150688,0.000150688,0.000150688
17,27.7988,1.93707,3.31942,1.22714,0,0,0,0,4.01372,4.03429,1.29354,0.000156207,0.000156207,0.000156207
18,29.3711,1.80145,2.99977,1.34056,0,0,0,0,4.01372,4.03429,1.29354,0.00016116,0.00016116,0.00016116
19,31.0847,1.74736,3.33186,1.14705,0,0,0,0,3.99385,4.03629,1.29391,0.000165547,0.000165547,0.000165547
20,32.566,1.78655,3.15828,1.28111,0,0,0,0,3.99385,4.03629,1.29391,0.000169368,0.000169368,0.000169368
21,34.303,2.0778,3.35485,1.20799,0,0,0,0,3.93542,4.04424,1.27863,0.000172623,0.000172623,0.000172623
